# 1: index
# 2: time, s
# 3: adc value, a.u. [0-1]
0	2.945700e-02	7.811752e-03
1	1.791273e+00	8.415589e-03
2	3.553134e+00	8.241181e-03
3	5.314907e+00	8.114162e-03
4	7.076698e+00	8.415043e-03
5	8.838667e+00	1.805113e-02
6	1.060040e+01	1.896339e-02
7	1.236208e+01	1.868738e-02
8	1.412361e+01	1.876115e-02
9	1.588524e+01	1.893425e-02
10	1.764694e+01	3.308908e-02
11	1.940869e+01	3.424750e-02
12	2.117035e+01	3.425163e-02
13	2.293201e+01	3.432760e-02
14	2.469367e+01	3.418702e-02
15	2.645560e+01	4.733699e-02
16	2.821731e+01	4.831879e-02
17	2.997891e+01	4.858515e-02
18	3.174060e+01	4.846410e-02
19	3.350221e+01	4.844614e-02
20	3.526400e+01	6.197876e-02
21	3.702571e+01	6.261443e-02
22	3.878725e+01	6.280319e-02
23	4.054895e+01	6.273038e-02
24	4.231067e+01	6.285875e-02
25	4.407243e+01	7.566067e-02
26	4.583401e+01	7.620470e-02
27	4.759554e+01	7.659158e-02
28	4.935702e+01	7.629983e-02
29	5.111855e+01	7.658570e-02
30	5.288018e+01	8.761722e-02
31	5.464169e+01	8.891122e-02
32	5.640329e+01	8.856355e-02
33	5.816472e+01	8.896042e-02
34	5.992613e+01	8.852118e-02
35	6.168773e+01	9.972302e-02
36	6.344920e+01	1.011889e-01
37	6.521070e+01	1.012833e-01
38	6.697215e+01	1.015325e-01
39	6.873350e+01	1.012250e-01
40	7.049499e+01	1.127278e-01
41	7.225628e+01	1.130688e-01
42	7.401757e+01	1.132797e-01
43	7.577894e+01	1.133546e-01
44	7.754028e+01	1.132123e-01
45	7.930177e+01	1.243503e-01
46	8.106319e+01	1.254190e-01
47	8.282453e+01	1.254763e-01
48	8.458592e+01	1.254035e-01
49	8.634721e+01	1.252676e-01
50	8.810852e+01	1.370371e-01
51	8.986985e+01	1.377374e-01
52	9.163114e+01	1.380039e-01
53	9.339254e+01	1.377775e-01
54	9.515379e+01	1.380240e-01
55	9.691511e+01	1.494986e-01
56	9.867634e+01	1.499127e-01
57	1.004377e+02	1.501592e-01
58	1.021989e+02	1.498938e-01
59	1.039601e+02	1.500973e-01
60	1.057214e+02	1.631102e-01
61	1.074826e+02	1.629670e-01
62	1.092440e+02	1.637288e-01
63	1.110054e+02	1.635725e-01
64	1.127667e+02	1.629862e-01
65	1.145281e+02	1.764099e-01
66	1.162894e+02	1.771922e-01
67	1.180506e+02	1.772376e-01
68	1.198117e+02	1.776531e-01
69	1.215729e+02	1.770457e-01
70	1.233343e+02	1.902056e-01
71	1.250957e+02	1.907168e-01
72	1.268570e+02	1.907758e-01
73	1.286183e+02	1.910844e-01
74	1.303796e+02	1.907966e-01
75	1.321410e+02	2.038654e-01
76	1.339023e+02	2.050803e-01
77	1.356635e+02	2.045425e-01
78	1.374246e+02	2.048306e-01
79	1.391857e+02	2.049996e-01
80	1.409469e+02	2.178537e-01
81	1.427079e+02	2.193739e-01
82	1.444689e+02	2.190824e-01
83	1.462300e+02	2.191326e-01
84	1.479912e+02	2.194562e-01
85	1.497525e+02	2.327658e-01
86	1.515135e+02	2.350448e-01
87	1.532745e+02	2.350752e-01
88	1.550356e+02	2.346490e-01
89	1.567966e+02	2.349007e-01
90	1.585577e+02	2.495471e-01
91	1.603186e+02	2.507896e-01
92	1.620795e+02	2.508160e-01
93	1.638404e+02	2.510821e-01
94	1.656011e+02	2.509196e-01
95	1.673621e+02	2.672614e-01
96	1.691231e+02	2.688245e-01
97	1.708841e+02	2.688860e-01
98	1.726450e+02	2.686524e-01
99	1.744059e+02	2.687945e-01
100	1.761670e+02	2.866509e-01
101	1.779280e+02	2.877221e-01
102	1.796890e+02	2.874622e-01
103	1.814499e+02	2.874517e-01
104	1.832108e+02	2.874655e-01
105	1.849718e+02	3.048042e-01
106	1.867327e+02	3.066062e-01
107	1.884935e+02	3.066917e-01
108	1.902544e+02	3.068218e-01
109	1.920153e+02	3.067528e-01
110	1.937763e+02	3.263961e-01
111	1.955371e+02	3.272876e-01
112	1.972977e+02	3.274782e-01
113	1.990585e+02	3.276202e-01
114	2.008194e+02	3.277782e-01
115	2.025804e+02	3.461681e-01
116	2.043413e+02	3.478385e-01
117	2.061021e+02	3.478299e-01
118	2.078629e+02	3.476877e-01
119	2.096236e+02	3.478858e-01
120	2.113845e+02	3.664087e-01
121	2.131451e+02	3.690843e-01
122	2.149059e+02	3.687658e-01
123	2.166667e+02	3.689130e-01
124	2.184275e+02	3.694114e-01
125	2.201884e+02	3.872435e-01
126	2.219492e+02	3.907134e-01
127	2.237100e+02	3.902381e-01
128	2.254708e+02	3.904331e-01
129	2.272316e+02	3.907855e-01
130	2.289925e+02	4.076014e-01
131	2.307531e+02	4.111259e-01
132	2.325139e+02	4.105488e-01
133	2.342746e+02	4.103588e-01
134	2.360353e+02	4.112746e-01
135	2.377961e+02	4.298864e-01
136	2.395567e+02	4.312642e-01
137	2.413175e+02	4.325909e-01
138	2.430782e+02	4.317780e-01
139	2.448390e+02	4.312163e-01
140	2.465999e+02	4.510772e-01
141	2.483605e+02	4.531128e-01
142	2.501212e+02	4.516289e-01
143	2.518817e+02	4.521261e-01
144	2.536423e+02	4.532612e-01
145	2.554030e+02	4.705434e-01
146	2.571635e+02	4.725676e-01
147	2.589241e+02	4.730926e-01
148	2.606844e+02	4.744082e-01
149	2.624448e+02	4.741267e-01
150	2.642053e+02	4.892651e-01
151	2.659655e+02	4.934280e-01
152	2.677259e+02	4.934839e-01
